"","dataset","tsid","longitude","latitude","ipccReg","Category","CategorySpec","recordRange","recordRes","recordResPlus","season","climInterp","source","direction","ka_0.5","ka_6","maxValAge","minValAge"
"1","117_723A.Godad.2011","RL0SCEeYVWU",57.609,18.0518,"ARP","other microfossil","other microfossil",11200,325,330,"summerOnly","T","Temp12k","positive",28.306,28.684,7210,11700
"2","161_976.Martrat.2014","R56JsH0b7h7",-4.3127,36.2054,"MED","alkenone","alkenone",11761,53,79,"annual","T","Temp12k","positive",17.956,18.858,9270.5,11946
"3","161_976.Martrat.2014","Rl3oDldpRFu_SST_from_planktic0x2EMgCa",-4.3127,36.2054,"MED","Mg/Ca","Mg/Ca",11350,80,80,"annual","T","Temp12k","positive",18.65,17.88,6500,4740
"4","165_1002C.Herbert.2000","RYfbsh7Nj6W_SST_from_Uk37",-65.1694,10.7061,"NSA","alkenone","alkenone",10960,450,450,"annual","T","Temp12k","positive",25.19,26.689,1590,10750
"5","2005-804-006.Ledu.2010","PYT93BAHDDE",-106.5735,68.9925,"NWN","other microfossil","other microfossil",6707.2,168.1,168.1,"annual","T","Temp12k","positive",NA,0.438,3864.5,1679.2
"6","31Lake.Eisner.1995","M2L7yquhwzuP",-50.47,67.05,"GIC","pollen","pollen",5102,166,170,"annual","T","Temp12k","positive",1.055,-0.73,848,3581
"7","3MPond.Pellatt.2000","Rlf3YywN7Sz",-121.2167,49.9833,"WNA","chironomid","chironomid",11719,366,366,"summerOnly","T","Temp12k","positive",7.581,12.489,6317,2655
"8","850Lake.Shemesh.2001","R5opojsGcHY",19.12,68.37,"NEU","chironomid","chironomid",9448.05949615,76.8134919999993,76.8134919999998,"summerOnly","T","Temp12k","positive",9.859,9.947,9321.246005,2792.099198
"9","850Lake.Shemesh.2001","PYTR4UFZM3W",19.12,68.37,"NEU","isotope","isotope",8992,158,158,"summerOnly","T","Temp12k","positive",25.484,27.307,9266,432
"10","893A.Kennet.2007","LPD05340dbbdp_SST_from_d18O",-120.036,34.2875,"WNA","isotope","isotope",9939.134,29.6,29.6,"annual","T","Temp12k","positive",14.472,14.971,3545.446,977.6
"11","893A.Kennet.2007","LPD28794972dp_SST_from_d18O2",-120.036,34.2875,"WNA","isotope","isotope",9992.952,31.4770000000002,31.7790000000005,"annual","T","Temp12k","positive",14.636,15.499,9911.973,871.04
"12","A7.Sun.2005","T2L_A7_mgca_ruber_SST_from_mgca_ruber",126.9783,27.82,"EAS","Mg/Ca","Mg/Ca",10613,125,125,"annual","T","Temp12k","positive",NA,29.297,1698,11980
"13","A7.Sun.2005","T2L_A7_d18o_ruber_SST_from_d18o_ruber",126.9783,27.82,"EAS","isotope","isotope",10613,125,125,"annual","T","Temp12k","positive",NA,25.662,8067,8733
"14","Abalone.Cole.1994","M2Lhfelk1bfP",-119.98,33.96,"WNA","pollen","pollen",6112.3,204.6,227.05,"annual","T","Temp12k","positive",14.988,15.012,4149.7,129.6
"15","AdelaideTarn.Jara.2015","WEB239e9c22",172.5333,-40.9333,"NZ","pollen","pollen",11516.1,150.5,150.05,"annual","T","Temp12k","positive",0.046,0.212,9899.2,2425.9
"16","Agassiz.Lecavalier.2017","WEBa1e48de5",-73.5,80.67,"GIC","isotope","isotope",12000,25,25,"annual","T","Temp12k","positive",0.454,2.275,10000,11775
"17","AgeroedsMosse.Nilsson.1964","RTdqSojg0st",13.42,55.83,"NEU","pollen","pollen",9080.15,55.445,59.27,"annual","T","Temp12k","positive",7.917,8.254,7732.79,8984.98
"18","AjaxBog.Wilmshurst.2007","R6lPfjM3opf",169.28,-46.42,"NZ","pollen","pollen",10977.333,185.666,179.283,"annual","T","Temp12k","positive",7.627,8.019,9503.86,1156
"19","AlanenLaanijarvi.Heinrichs.2005","Ry0uq7BMis9",20.48,67.97,"NEU","chironomid","chironomid",8205.06,329.82,335.465,"summerOnly","T","Temp12k","positive",10.972,10.649,2586.82,5704.62
"20","Alley.GISP2.2000","GH34755740",-38.5,72.6,"GIC","other ice","other ice",11897.859,12.8800000000001,12.8999999999996,"annual","T","Temp12k","positive",-31.721,-30.552,7817.32,11857
"21","AlltnaFeitheSheilich.Birks.1975","Rx3TR4XADtS",-3.9,57.32,"NEU","pollen","pollen",9298.31,338.92,338.92,"annual","T","Temp12k","positive",8.154,5.598,997.51,7341.26
"22","AlpidiRobieiValBavona.Welten.1982","RNAncQhRpt8",8.52,46.45,"WCE","pollen","pollen",10836.71,175.6,175.6,"annual","T","Temp12k","positive",2.65,5.349,10289.12,62.6
"23","Alsa.Mariscal.1993","RsCmrJ2LIUJ",-4.02,43.12,"MED","pollen","pollen",4856.79,144.73,144.735,"annual","T","Temp12k","positive",8.614,NA,3889.62,4758.01
"24","Alsopahok.Zatyko.2007","RsS9GGho4e3",17.17,46.77,"WCE","pollen","pollen",10583.84,35.62,35.62,"annual","T","Temp12k","positive",7.619,3.294,1199.09,6092.92
"25","Altenweiher.DeValk.1981","Ry2oSKE2D2P",6.99,48.01,"WCE","pollen","pollen",10771.53,91.0799999999999,91.0799999999999,"annual","T","Temp12k","positive",7.082,7.996,7601.04,10910.16
"26","Ammersee.vonGrafenstein.1996","LS96VOAM01",11.1167,48,"WCE","isotope","isotope",11983.81,11.2800000000007,11.5,"annual","T","Temp12k","positive",-4.812,-4.376,9071.15,11975.11
"27","Andy.Szeicz.1995","RSvtIc0N66Y",-128.08,64.65,"NWN","pollen","pollen",9803,174,161.5,"annual","T","Temp12k","positive",-2.444,-0.075,6558,0
"28","Arapisto.Sarmaja-Korjonen.2007","PYTXFMZ1EQU",24.8,60.58,"NEU","pollen","pollen",8888.5,17.5999999999995,17.5499999999997,"annual","T","Temp12k","positive",3.795,6.782,6641.1,827.56
"29","Atocas.Gauthier.1981","M2L68fmqq0lP",-73.31,45.54,"ENA","pollen","pollen",10399,298,298,"annual","T","Temp12k","positive",5.214,5.433,9315,7137
"30","Austerkjosen.Seppa.2009","PYTLCCXN62R",17.2667,68.5333,"NEU","pollen","pollen",8819.42,234.175,235.08,"summerOnly","T","Temp12k","positive",11.039,12.003,8053.6,240.22
"31","AwengCo.Li.2017","WEB7e132cbf",81.67,32.75,"TIB","other biomarker","other biomarker",11639,201,192.5,"annual","T","Temp12k","positive",4.508,-1.2,260,4444
"32","B997_321.Castaneda.2004","T2L_B997_321_d18o_pachyderma_SST_from_d18o_pachyderma",-18.9744,66.8911,"GIC","isotope","isotope",7468,253,253,"annual","T","Temp12k","positive",6.306,6.822,5346,1115
"33","B997_324.Castaneda.2004","T2L_B997_324_d18o_pachyderma_SST_from_d18o_pachyderma",-21.1522,66.5239,"GIC","isotope","isotope",11910,191,189,"annual","T","Temp12k","positive",7.014,8.133,10476,10642
"34","B997_327.Castaneda.2004","T2L_B997_327_d18o_pachyderma_SST_from_d18o_pachyderma",-20.8631,66.6414,"GIC","isotope","isotope",3893,72,72,"annual","T","Temp12k","positive",6.301,NA,554,530
"35","BaiedeSeineestuary.Garnaud.2003","Reuxqn1aPrN",-0.03,49.42,"WCE","pollen","pollen",8426.56,112.540000000001,112.54,"annual","T","Temp12k","positive",9.49,10.631,8532.53,105.97
"36","BanksIsland-15.Gajewski.2000","M2Lqd7jeqa8P",-120.22,73.53,"NWN","pollen","pollen",10169,127,135,"annual","T","Temp12k","positive",-11.361,-7.484,8323,14
"37","BasadelaMoraLake.Tarrats.2018","RXVKcelUtDs",0.326,42.5445,"MED","chironomid","chironomid",8619.115,185.217,180.851999999999,"summerOnly","T","Temp12k","positive",NA,8.904,6290.636,3409.147
"38","Basse-Ville.Voeltzel.1987","R4JjJRueZkB",-1.86,47.19,"WCE","pollen","pollen",8460.69,63.0500000000002,63.0500000000002,"annual","T","Temp12k","positive",9.06,9.831,8523.1,5233.475
"39","Bastien.Bennett.1987","M2Lqrusrc3gP",-78.92,46.4,"ENA","pollen","pollen",10833,159.5,159,"annual","T","Temp12k","positive",4.659,5.354,1177,10127
"40","BattleGround.Whitlock.1985","M2Lx72gur5lP",-122.4917,45.8,"WNA","pollen","pollen",10539.6,236.3,236.3,"annual","T","Temp12k","positive",7.267,8.531,9718.9,1872.9
"41","BC01Lake.Peros.2010","WEBa45174e3",-111.92,75.18,"NWN","pollen","pollen",11532,631,632,"summerOnly","T","Temp12k","positive",3.975,4.405,10198,1979
"42","Beaverhouse.Ritchie.1976","M2L6n22fvlcP",-101.68,54.74,"NEN","pollen","pollen",9993,197,197,"annual","T","Temp12k","positive",3.29,4.781,10183,7236
"43","BebrukasLake.Shulija.1967","RsHcCZf3F0Z",24.12,54.09,"WCE","pollen","pollen",10603.73,221.26,212.77,"annual","T","Temp12k","positive",4.964,6.033,7262.94,9910.92
"44","BeefPasture.Petersen.1985","M2Lgb6c2jm2P",-108.16,37.47,"WNA","pollen","pollen",6025.2,32.8,32.8,"annual","T","Temp12k","positive",2.12,1.345,1002.8,2918.5
"45","BellsLake.Szeicz.1995","RAP1dzJLThI",-127.48,65.02,"NWN","pollen","pollen",11702,208,208,"annual","T","Temp12k","positive",-1.28,1.108,10246,10574
"46","Berkut.Ilyashuk.2005","RmGezmouka1",36.66,66.34,"NEU","chironomid","chironomid",10104,237,237.5,"summerOnly","T","Temp12k","positive",11.874,11.661,9941,1429
"47","Berry.Whitehead.1979","M2Lsemj4z4fP",-73.32,42.5,"ENA","pollen","pollen",10933,292.5,292.5,"annual","T","Temp12k","positive",6.864,7.097,3467,10973
"48","BI2Lake.Gajewski.1992","M2La2ua5w4kP",-76.38,57.12,"NEN","pollen","pollen",7639,185,192,"annual","T","Temp12k","positive",-6.602,-6.938,2568,7361
"49","BiglandTarn.Barber.2013","RtcHGLf9lJV",-2.99,54.24,"NEU","chironomid","chironomid",4794,100,100,"summerOnly","T","Temp12k","positive",14,NA,733,4806
"50","Billys.Jacobson.1975","M2Lqditl4qyP",-94.55,46.27,"CNA","pollen","pollen",10942,137.65,137.6,"annual","T","Temp12k","positive",4.969,4.143,4869.2,9238.6
"51","BiskupinskieLake.Noryskiewicz.1995","R7DxiAHp0lf",17.73,52.78,"WCE","pollen","pollen",10695.27,62.095,62.21,"annual","T","Temp12k","positive",6.546,6.621,3875.12,10677.83
