TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_year,pub1_authors,pub1_title,pub1_journal,pub1_pages,pub1_issue,pub1_volume,pub1_doi,pub2_doi,originalDataUrl,neotomaDatasetId,archiveType,proxyGeneral,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,otherAgesPerKyr,inThisCompilation,QC Certification,QC comments,link to lipdverse,changelogNotes
LPD8e619296,matlab,Aden.Tierney.2013,Gulf of Aden,Indian Ocean,11.955,44.3,-869,2013,"Tierney, J.E. & P. B. DeMenocal",Abrupt Shifts in Horn of Africa Hydroclimate Since the Last Glacial Maximum,Science,,,,10.1126/science.1240411,,https://www.ncei.noaa.gov/access/paleo-search/study/15537,,MarineSediment,isotope,dDwax,C30 fatty acid,,,"""We used the hydrogen isotopic composition of leaf waxes (dDwax) as a proxy for aridity and, more generally speaking, hydroclimate, includ- ing precipitation/evaporation balance and changes in regional convection."" (Tierney and deMenocl 2013)",d2H,permil,,P-E,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-135.5884615,negative,-21,39019,182,0,0,TRUE,CH,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Aden.Tierney.2013.html,
OLS_R4y0PIxteRT,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Adobe.Batchelder.1978,Adobe,North America>United States Of America>California,37.91,-118.6,1951,1978,"Batchelder, G.H.",Personal communication.,,,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,2.7,negative,494.5,13383.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Adobe.Batchelder.1978.html,
OLS_R7luETutJOR,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Afrera.Gasse.1975,Afrera,Africa>Eastern Africa>Ethiopia,13.42,40.83,-82,1970,"Bannert, D., J. Brinkmann, K-Ch. Kading, G. Knetsch,M. Kursten and H. Mayrhofer",Zur Geologie der Danakil-Senke.,GeologischeRundschau,59 : 409-443.,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,2.1,negative,494.5,12333.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Afrera.Gasse.1975.html,
WEB8b32a2e0,lipd.net,AhungCo.Morrill.2006,"Ahung Co, Tibe",Asia>Eastern Asia>China,31.62,92.06,4575,2006,"Morrill, Carrie",Holocene variations in the Asian monsoon inferred from the geochemistry of lake sediments in central Tibet,Quaternary Research,232-243,2,65,10.1016/j.yqres.2005.02.014,,https://www.ncei.noaa.gov/access/paleo-search/study/5451,,LakeSediment,hybrid,PCA,PCA,,,""" Overall, we argue that the firstPC reflects a decrease in lake level and monsoon precipitation through the Holocene""",PC1,unitless,anom,P-E,lakelevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-0.000235294,positive,4048,9073,47,,,TRUE,,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/AhungCo.Morrill.2006.html,
SL13TEAK01A,matlab,AKIII.Terwilliger.2013,Adi Kolan,Africa>Eastern Africa>Ethiopia,13.3322,39.3646,2171,2013,"Terwilliger, Valery J. , Eshetu, Zewdu , Disnar, Jean-Robert , Jacob, Ji¿½ri¿½my , Paul Adderley, W. , Huang, Yongsong , Alexandre, Marcelo , Fogel, Marilyn L.",Environmental changes and the rise and fall of civilizations in the northern Horn of Africa: An approach combining ?D analyses of land-plant derived fatty acids with multiple proxies in soil,Geochimica et Cosmochimica Acta,-21,,111,10.1016/j.gca.2012.10.040,,https://doi.org/10.25921/57j8-vs18,,TerrestrialSediment,isotope,dDwax,C26 fatty acid,,,; archiveType changed - was originally Terrestrial Sediment/Loess (SL),C26 d2H,permil,,P,amount@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-131.4615385,negative,0,13742,126,0,0,TRUE,CH,"""Hereinafter, we focus only on the results for n-C26 as these consistently had the highest, most evenly-shaped peaks and the peaks were present in the most samples.""- Terwilliger et al., 2013; ISO2k name: SL13TEAK",http://lipdverse.org/HoloceneHydroclimate/0_4_0/AKIII.Terwilliger.2013.html,
WEB4ef1e8b8,lipd.net,Aljojuca.Bhattacharya.2015,Laguna de Aljojuca,North America>Mexico,19.0915,-97.5338,2376,2015,"Bhattacharya, Tripti","Cultural implications of late Holocene climate change in the Cuenca Oriental, Mexico",Proceedings of the National Academy of Sciences,1693-1698,6,112,10.1073/pnas.1405653112,,https://www.ncei.noaa.gov/access/paleo-search/study/17735,,LakeSediment,isotope,d18O,authigenic calcite,VPDB,,"""We interpret changes in δ18O as indicative of changes in the ratio of evaporation and precipitation (E/P). An increase in the evaporation relative to precipitation increases the 18O content of lakewater: H218O tends to evaporate more slowly than H216O, and the higher 16O content of atmospheric water vapor means that 16O is preferentially returned to the lake in precipitation (47). A higher (lower) ratio of evaporation to precipitation would therefore result in higher (lower) δ18O""",d18O,pemil,,P-E,lake@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-5.804535519,negative,-49.2,4139.7,13.1,0,0,TRUE,CH,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Aljojuca.Bhattacharya.2015.html,
PYTCPIAO06Y,matlab,Andy.Szeicz.1995,Andy,North America>Canada>Northwest Territories,64.65,-128.08,1360,1995,"Szeicz, Julian M.","Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology",351 371,4-Feb,113,10.1016/0031-0182(95)00070-3,10.5194/cp-10-1605-2014,https://www.ncei.noaa.gov/access/paleo-search/study/15444,10.21233/N35X18,LakeSediment,pollen,pollen,assemblage,MAT,,,Panom,mm/a,anom,P,precipitation@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,40.64843636,positive,0,13192,186,0.333333333,0,TRUE,CR,"fails age control, gap >3000 years (largest gap is 4170 yrs); five well-spaced ages in Holocene",http://lipdverse.org/HoloceneHydroclimate/0_4_0/Andy.Szeicz.1995.html,
LPD053400dbb,matlab,AralSea.Chen.2008,Aral Sea,Asia>Southcentral Asia>Kazakhstan,45,60,53,2008,"Chen, Fahu; Yu, Zicheng; Yang, Meilin; Ito, Emi; Wang, Sumin; Madsen, David B.; Huang, Xiaozhong; Zhao, Yan; Sato, Tomonori; John B. Birks, H.; Boomer, Ian; Chen, Jianhui; An, Chengbang; W _nnemann, Bernd",Holocene moisture evolution in arid central Asia and its out-of-phase relationship with Asian monsoon history,Quaternary Science Reviews,351 364,3,27,10.1016/j.quascirev.2007.10.017,,https://doi.org/10.25921/bnxb-1n90,,LakeSediment,hybrid,hybrid,,,,"Composited into a relative moisture index by Wang et al., 2008",Moisture_index,unitless,anom,P-E,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,2.34841629,positive,0,11000,50,0,0,TRUE,,too course,http://lipdverse.org/HoloceneHydroclimate/0_4_0/AralSea.Chen.2008.html,
OLS_ResQaXkZnvE,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Asal.Gasse.1975,Asal,Africa>Eastern Africa>Djibouti,11.6,42.5,-155,1975,"Eldridge, K.L., J.J. Stipp and S.J. Cohen",University of Miami radiocarbon dates III.Radiocarbon 17 : 239-246.,,,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,1.9,negative,494.5,14693.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Asal.Gasse.1975.html,
S2LRZeoXM3hqeb,sisal2lipd,Attacave.Niggemann.2003,Atta cave,Europe>Western Europe>Germany,51.1,7.9,308,2003,"Niggemann, Stefan","Sub-Milankovitch climatic cycles in Holocene stalagmites from Sauerland, Germany",Earth and Planetary Science Letters,539-547,4,216,10.1016/S0012-821X(03)00513-2,,https://doi.org/10.17864/1947.256,,Speleothem,isotope,d18O,calcite,,,"""The peaks of N18O in the stalagmites indicate sectionswherecalciteformedduringperiodsof lower humidity in the cave, probably because of drierwinters...In summary, we ascribe the observed kinetic frac- tionation to less supply of water during drier and colder winters when the water reservoir above the cave remained at a lower stand and the cave dried out more frequently in summer...Nevertheless,theenrichmentofheavierstable isotopesofthecalcitemaybeusedasanindicator of lower humidity in a cave due to less dripping activitycausedbylessprecipitation"" ( Niggemann et al., 2003)",d18O,permil,,P-E,humidity,"12,1,2",winterOnly,-5.901368477,negative,382.3386381,8658.143893,15.799474,0,0,TRUE,CH,Lipd conversion error.,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Attacave.Niggemann.2003.html,
